Rank W/L LP
S3 20/30 +16
S3 23/32 +17
S3 26/35 +18
S3 32/38 +16
S3 37/38 +15
S3 39/38 +15
S2 42/38 +15
S2 43/39 +16
S2 43/40 -15
S1 46/41 +16
S1 48/42 +15
S1 51/43 +13
S1 57/54 +15
S1 62/58 -15
S1 62/59 -19
S1 63/59 +15
S1 71/63 +13
S1 98/93 +14
S1 99/94 -15
S1 100/94 +14
G4 115/102 +18
G4 117/104 +16
G4 121/109 -15
G4 122/109 +15
G4 128/118 +14
G4 140/134 +13
G3 155/140 +17
G3 157/140 +14
